game_date,season,match_up,away_team,home_team,away_min_p,away_max_p,away_weighted_avg_price,away_last_traded_price,home_min_p,home_max_p,home_weighted_avg_price,home_last_traded_price,home_line
2018-10-18,2018-19,LA Lakers @ Portland,Los Angeles Lakers,Portland Trail Blazers,1.6,110,2.5,2.32,1.01,2.6,1.57,1.75,-3
2018-10-18,2018-19,Miami Heat @ Washington Wizards,Miami Heat,Washington Wizards,1.09,4.8,2.53,3.4,1.25,12,1.49,1.42,-5.5
2018-10-18,2018-19,Chicago Bulls @ Philadelphia 76ers,Chicago Bulls,Philadelphia 76ers,4.6,50,8.88,9.2,1.01,1.25,1.14,1.12,-12.5
2018-10-19,2018-19,Charlotte Hornets @ Orlando Magic,Charlotte Hornets,Orlando Magic,1.01,1.97,1.5,1.9,2,100,2.42,2.1,1.5
2018-10-19,2018-19,Boston Celtics @ Toronto Raptors,Boston Celtics,Toronto Raptors,1.57,1000,3.11,2.4,1.02,2.7,1.75,1.71,-3
2018-10-19,2018-19,Golden State Warriors @ Utah Jazz,Golden State Warriors,Utah Jazz,1.01,6,1.63,1.74,1.17,34,2.02,2.32,3
2018-10-20,2018-19,Toronto Raptors @ Washington Wizards,Toronto Raptors,Washington Wizards,1.04,2.44,1.7,2.26,1.64,20,2.78,1.8,-2
2018-10-19,2018-19,New York Knicks @ Brooklyn Nets,New York Knicks,Brooklyn Nets,1.5,6,2.63,2.62,1.04,2.84,1.56,1.61,-3
2018-10-19,2018-19,Sacramento Kings @ New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,4.5,19.5,7.86,8.4,1.01,1.18,1.14,1.14,-11.5
2018-10-19,2018-19,Cleveland Cavaliers @ Minnesota Timberwolves,Cleveland Cavaliers,Minnesota Timberwolves,2.6,19,4.73,4.5,1.01,1.6,1.09,1.26,-8.5
2018-10-19,2018-19,Atlanta Hawks @ Memphis Grizzlies,Atlanta Hawks,Memphis Grizzlies,3.35,15,3.79,3.55,1.07,1.42,1.38,1.36,-6.5
2018-10-19,2018-19,Indiana Pacers @ Milwaukee Bucks,Indiana Pacers,Milwaukee Bucks,2.1,26,2.79,2.54,1.04,1.88,1.58,1.65,-3.5
2018-10-19,2018-19,Oklahoma City Thunder @ Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,1.3,10,1.75,2.36,1.01,4.3,1.47,1.72,-3
2018-10-20,2018-19,Brooklyn Nets @ Indiana Pacers,Brooklyn Nets,Indiana Pacers,3.95,5.5,4.57,4.4,1.01,1.37,1.22,1.28,-8.5
2018-10-20,2018-19,Boston Celtics @ New York Knicks,Boston Celtics,New York Knicks,1.05,1.4,1.2,1.22,2.9,7.6,5.36,5.6,9
2018-10-20,2018-19,Orlando Magic @ Philadelphia 76ers,Orlando Magic,Philadelphia 76ers,1.86,13.5,8.14,13.5,1.02,2.2,1.13,1.09,-12.5
2018-10-20,2018-19,Houston Rockets @ Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,1.01,2.46,1.38,1.68,1.7,8.2,2.77,2.48,3
2018-10-20,2018-19,Detroit Pistons @ Chicago Bulls,Detroit Pistons,Chicago Bulls,1.05,1.97,1.5,1.51,2,20,2.69,2.8,4.5
2018-10-20,2018-19,Charlotte Hornets @ Miami Heat,Charlotte Hornets,Miami Heat,1.02,2.78,1.65,2.54,1.42,23,2.16,1.65,-6.5
2018-10-20,2018-19,Minnesota Timberwolves @ Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,1.45,16,2.02,2.1,1.06,2.58,1.67,1.89,-1.5
2018-10-20,2018-19,Phoenix Suns @ Denver Nuggets,Phoenix Suns,Denver Nuggets,5.5,100,8.86,6.6,1.02,1.23,1.17,1.19,-10
2018-10-20,2018-19,San Antonio Spurs @ Portland Trail Blazers,San Antonio Spurs,Portland Trail Blazers,2.56,50,3.18,2.9,1.01,1.63,1.41,1.53,-4.5
2018-10-21,2018-19,Atlanta Hawks @ Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers,1.01,8.4,2.11,4.4,1.08,1000,2.32,1.27,-7
2018-10-21,2018-19,Houston Rockets @ Los Angeles Clippers,Houston Rockets,Los Angeles Clippers,1.68,17.5,2.21,2.16,1.01,2.32,1.58,1.84,-2
2018-10-21,2018-19,Golden State Warriors @ Denver Nuggets,Golden State Warriors,Denver Nuggets,1.2,100,1.77,1.55,1.01,4.8,1.87,2.8,4.5
2018-10-21,2018-19,Sacramento Kings @ Oklahoma City Thunder,Sacramento Kings,Oklahoma City Thunder,1.01,7.6,2.13,7,1.16,50,1.68,1.17,-10
2018-10-22,2018-19,Orlando Magic @ Boston Celtics,Orlando Magic,Boston Celtics,1.01,9.4,2.9,8.2,1.1,10,1.41,1.14,-11
2018-10-22,2018-19,Indiana Pacers @ Minnesota Timberwolves,Indiana Pacers,Minnesota Timberwolves,1.7,200,2.38,2.24,1.01,2.04,1.66,1.79,-2.5
2018-10-22,2018-19,New York Knicks @ Milwaukee Bucks,New York Knicks,Milwaukee Bucks,2.42,21,6.56,8.2,1.01,1.7,1.14,1.15,-11.5
2018-10-22,2018-19,Chicago Bulls @ Dallas Mavericks,Chicago Bulls,Dallas Mavericks,2.98,9.2,3.21,3,1.01,2.26,1.41,1.5,-5.5
2018-10-22,2018-19,Memphis Grizzlies @ Utah Jazz,Memphis Grizzlies,Utah Jazz,1.01,6.4,1.7,5.8,1.17,10.5,1.49,1.19,-10
2018-10-22,2018-19,Washington Wizards @ Portland Trail Blazers,Washington Wizards,Portland Trail Blazers,1.01,9.2,2.37,2.84,1.08,26,1.6,1.54,-5
2018-10-22,2018-19,San Antonio Spurs @ Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,1.01,10,1.66,2.08,1.02,4.1,1.69,1.92,-1
2018-10-22,2018-19,Phoenix Suns @ Golden State Warriors,Phoenix Suns,Golden State Warriors,7.8,1000,15.39,9.4,1.01,1.15,1.09,1.11,-12.5
2018-10-22,2018-19,Charlotte Hornets @ Toronto Raptors,Charlotte Hornets,Toronto Raptors,4.6,85,5.52,5,1.01,1.28,1.2,1.25,-8.5
2018-10-23,2018-19,Philadelphia 76ers @ Detroit Pistons,Philadelphia 76ers,Detroit Pistons,1.17,100,1.85,1.96,1.15,5.2,2.04,2.06,1.5
2018-10-23,2018-19,Los Angeles Clippers @ New Orleans Pelicans,Los Angeles Clippers,New Orleans Pelicans,2.26,30,3.55,3.3,1.01,1.8,1.26,1.43,-6.5
2018-10-23,2018-19,Sacramento Kings @ Denver Nuggets,Sacramento Kings,Denver Nuggets,6.4,50,8.37,8.6,1.01,1.2,1.11,1.14,-11.5
2018-10-24,2018-19,Dallas Mavericks @ Atlanta Hawks,Dallas Mavericks,Atlanta Hawks,1.04,50,1.46,1.85,1.01,10.5,2.17,2.16,2.5
2018-10-24,2018-19,Brooklyn Nets @ Cleveland Cavaliers,Brooklyn Nets,Cleveland Cavaliers,1.01,2.58,1.84,2.36,1.64,3.55,1.73,1.73,-3.5
2018-10-24,2018-19,New York Knicks @ Miami Heat,New York Knicks,Miami Heat,2.36,6.4,4.22,4.3,1.01,1.83,1.33,1.3,-8
2018-10-24,2018-19,Minnesota Timberwolves @ Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,3.9,50,4.86,4.6,1.01,1.34,1.22,1.28,-8.5
2018-10-24,2018-19,Philadelphia 76ers @ Milwaukee Bucks,Philadelphia 76ers,Milwaukee Bucks,1.61,100,3.37,3,1.01,2.6,1.46,1.5,4.5
2018-10-24,2018-19,Utah Jazz @ Houston Rockets,Utah Jazz,Houston Rockets,1.01,2.38,1.58,2.1,1.62,50,2.22,1.92,-1
2018-10-24,2018-19,Charlotte Hornets @ Chicago Bulls,Charlotte Hornets,Chicago Bulls,1.16,50,1.76,1.54,1.01,3.8,2.35,2.9,5
2018-10-24,2018-19,Indiana Pacers @ San Antonio Spurs,Indiana Pacers,San Antonio Spurs,1.01,2.4,1.19,2.1,1.72,50,2.13,1.91,-1.5
2018-10-24,2018-19,Los Angeles Lakers @ Phoenix Suns,Los Angeles Lakers,Phoenix Suns,1.01,1.85,1.37,1.5,2.36,1000,3.76,2.98,5.5
2018-10-24,2018-19,Memphis Grizzlies @ Sacramento Kings,Memphis Grizzlies,Sacramento Kings,1.25,220,2.18,1.75,1.01,4.5,1.79,2.34,3
2018-10-24,2018-19,Washington Wizards @ Golden State Warriors,Washington Wizards,Golden State Warriors,5.4,50,6.59,6.4,1.01,1.25,1.14,1.19,-11
2018-10-25,2018-19,Cleveland Cavaliers @ Detroit Pistons,Cleveland Cavaliers,Detroit Pistons,3.5,50,5.47,5.6,1.01,1.42,1.22,1.21,-9.5
2018-10-25,2018-19,Portland Trail Blazers @ Orlando Magic,Portland Trail Blazers,Orlando Magic,1.01,1.76,1.45,1.63,2.36,50,2.93,2.6,3.5
2018-10-25,2018-19,Boston Celtics @ Oklahoma City Thunder,Boston Celtics,Oklahoma City Thunder,1.02,12,2.12,2.02,1.08,50,1.7,2,-11.5
2018-10-25,2018-19,Denver Nuggets @ Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,1.17,50,1.78,1.92,1.02,6.4,1.91,2.1,2
2018-10-26,2018-19,Chicago Bulls @ Charlotte Hornets,Chicago Bulls,Charlotte Hornets,4.5,55,6.25,6.2,1.01,1.35,1.17,1.19,-10.5
2018-10-26,2018-19,Golden State Warriors @ New York Knicks,Golden State Warriors,New York Knicks,1.01,2.14,1.25,1.13,1.89,1000,8.45,9,12
2018-10-26,2018-19,Dallas Mavericks @ Toronto Raptors,Dallas Mavericks,Toronto Raptors,6.8,17.5,8.28,8.6,1.01,1.35,1.11,1.13,-11
2018-10-26,2018-19,Los Angeles Clippers @ Houston Rockets,Los Angeles Clippers,Houston Rockets,1.01,2.66,1.91,2.64,1.58,4.2,1.74,1.61,-3.5
2018-10-26,2018-19,Milwaukee Bucks @ Minnesota Timberwolves,Milwaukee Bucks,Minnesota Timberwolves,1.01,2.12,1.7,1.79,1.93,50,2.5,2.26,2
2018-10-26,2018-19,Brooklyn Nets @ New Orleans Pelicans,Brooklyn Nets,New Orleans Pelicans,1.04,5.6,1.68,4.8,1.12,8.6,1.37,1.27,-9
2018-10-26,2018-19,Washington Wizards @ Sacramento Kings,Washington Wizards,Sacramento Kings,1.23,1000,1.66,1.5,1.01,5.3,2.13,2.98,5
2018-10-27,2018-19,Boston Celtics @ Detroit Pistons,Boston Celtics,Detroit Pistons,1.01,1.75,1.48,1.63,2.34,22,2.69,2.6,2.5
2018-10-27,2018-19,Utah Jazz @ New Orleans Pelicans,Utah Jazz,New Orleans Pelicans,1.03,2.04,1.43,1.47,2.02,15,3.25,3.15,6
2018-10-27,2018-19,Chicago Bulls @ Atlanta Hawks,Chicago Bulls,Atlanta Hawks,1.02,5,2.36,3.15,1.29,21,1.52,1.45,-6
2018-10-27,2018-19,Indiana Pacers @ Cleveland Cavaliers,Indiana Pacers,Cleveland Cavaliers,1.01,1.51,1.32,1.36,2.8,5.5,3.79,3.8,6.5
2018-10-27,2018-19,Charlotte Hornets @ Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,2.02,26,3.25,3.55,1.01,1.95,1.3,1.39,-5.5
2018-10-27,2018-19,Phoenix Suns @ Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,3.4,50,4.47,3.75,1.01,1.44,1.3,1.36,-7.5
2018-10-27,2018-19,Portland Trail Blazers @ Miami Heat,Portland Trail Blazers,Miami Heat,1.35,200,2.52,2.1,1.02,4.1,1.53,1.94,-1.5
2018-10-27,2018-19,Orlando Magic @ Milwaukee Bucks,Orlando Magic,Milwaukee Bucks,4.6,10.5,5.17,4.6,1.03,1.37,1.22,1.28,-9
2018-10-27,2018-19,Los Angeles Lakers @ San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,1.25,34,1.8,1.94,1.01,4.1,1.79,2.08,2
2018-10-28,2018-19,Golden State Warriors @ Brooklyn Nets,Golden State Warriors,Brooklyn Nets,1.01,1.36,1.13,1.2,4,190,6.83,5.8,9.5
2018-10-28,2018-19,Utah Jazz @ Dallas Mavericks,Utah Jazz,Dallas Mavericks,1.01,1.92,1.35,1.54,2.58,10.5,3.06,2.8,4.5
2018-10-28,2018-19,Phoenix Suns @ Oklahoma City Thunder,Phoenix Suns,Oklahoma City Thunder,6.6,200,12.63,10.5,1.01,1.18,1.1,1.11,-13
2018-10-28,2018-19,Washington Wizards @ Los Angeles Clippers,Washington Wizards,Los Angeles Clippers,2.38,50,2.76,2.5,1.01,1.71,1.54,1.66,-3
2018-10-29,2018-19,Atlanta Hawks @ Philadelphia 76ers,Atlanta Hawks,Philadelphia 76ers,4.2,120,7.76,7.8,1.03,1.31,1.15,1.16,-11
2018-10-29,2018-19,Portland Trail Blazers @ Indiana Pacers,Portland Trail Blazers,Indiana Pacers,1.02,3.3,2.02,2.64,1.3,8,1.81,1.61,-3.5
2018-10-29,2018-19,Brooklyn Nets @ New York Knicks,Brooklyn Nets,New York Knicks,1.67,55,2.12,1.97,1.01,2.12,1.49,2.02,-1
2018-10-29,2018-19,Sacramento Kings @ Miami Heat,Sacramento Kings,Miami Heat,1.02,6.2,3.11,5,1.1,8,1.73,1.24,-9
2018-10-29,2018-19,Golden State Warriors @ Chicago Bulls,Golden State Warriors,Chicago Bulls,1.01,1.18,1.12,1.15,7.6,20,8.46,8.2,11
2018-10-29,2018-19,Los Angeles Lakers @ Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,1.5,24,1.95,1.88,1.01,2.32,1.67,2.1,1.5
2018-10-29,2018-19,Dallas Mavericks @ San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,1.61,26,3.55,3.6,1.1,2.8,1.36,1.38,-7
2018-10-29,2018-19,New Orleans Pelicans @ Denver Nuggets,New Orleans Pelicans,Denver Nuggets,3.1,17.5,5.09,5.3,1.01,3.6,1.15,1.24,-9
2018-10-29,2018-19,Toronto Raptors @ Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,1.62,34,1.85,1.81,1.03,2.6,1.96,2.24,2
2018-10-30,2018-19,Miami Heat @ Charlotte Hornets,Miami Heat,Charlotte Hornets,2.46,50,2.78,2.48,1.01,1.7,1.49,1.66,-4.5
2018-10-30,2018-19,Atlanta Hawks @ Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers,2.56,8,2.94,2.86,1.01,1.63,1.49,1.52,-4.5
2018-10-30,2018-19,Sacramento Kings @ Orlando Magic,Sacramento Kings,Orlando Magic,1.01,3.3,2.38,2.94,1.36,4,1.61,1.54,-5
2018-10-30,2018-19,Detroit Pistons @ Boston Celtics,Detroit Pistons,Boston Celtics,3,15,4.8,5,1.01,1.5,1.24,1.25,-9
2018-10-30,2018-19,Philadelphia 76ers @ Toronto Raptors,Philadelphia 76ers,Toronto Raptors,3.2,13.5,3.71,3.45,1.01,1.45,1.25,1.41,-6
2018-10-30,2018-19,Portland Trail Blazers @ Houston Rockets,Portland Trail Blazers,Houston Rockets,1.01,2.9,2.45,2.82,1.53,15,1.61,1.54,-4.5
2018-10-30,2018-19,Washington Wizards @ Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,1.7,130,2.48,2.08,1.01,1.96,1.62,1.92,-1.5
2018-10-30,2018-19,Los Angeles Clippers @ Oklahoma City Thunder,Los Angeles Clippers,Oklahoma City Thunder,1.29,26,1.88,2.46,1.01,3.7,1.96,1.7,-3
2018-10-31,2018-19,Detroit Pistons @ Brooklyn Nets,Detroit Pistons,Brooklyn Nets,1.18,4,2,2.24,1.01,6.4,1.74,1.79,-3
2018-10-31,2018-19,Denver Nuggets @ Chicago Bulls,Denver Nuggets,Chicago Bulls,1.01,4.3,1.39,1.3,1.13,7,3.09,4.2,8
2018-10-31,2018-19,Utah Jazz @ Minnesota Timberwolves,Utah Jazz,Minnesota Timberwolves,1.18,13.5,1.55,1.38,1.04,4,2.83,3.75,3
2018-10-31,2018-19,Indiana Pacers @ New York Knicks,Indiana Pacers,New York Knicks,1.01,3,1.45,1.42,1.49,4.5,3.3,3.4,6
2018-10-31,2018-19,New Orleans Pelicans @ Golden State Warriors,New Orleans Pelicans,Golden State Warriors,4.2,25,5.7,5.6,1.01,1.33,1.16,1.22,-8.5
2018-10-31,2018-19,Dallas Mavericks @ Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,3.75,100,5.53,4.3,1.01,1.4,1.14,1.32,-7.5
2018-10-31,2018-19,San Antonio Spurs @ Phoenix Suns,San Antonio Spurs,Phoenix Suns,1.01,1.5,1.29,1.36,3,17.5,3.72,3.75,6.5
2018-11-01,2018-19,Oklahoma City Thunder @ Charlotte Hornets,Oklahoma City Thunder,Charlotte Hornets,1.01,8,1.91,2.06,1.07,3.8,1.84,1.91,-1
2018-11-01,2018-19,Denver Nuggets @ Cleveland Cavaliers,Denver Nuggets,Cleveland Cavaliers,1.01,2.52,1.55,1.51,1.67,6,2.85,3,5
2018-10-31,2018-19,Los Angeles Clippers @ Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,1.6,10.5,3.03,3.1,1.01,2.1,1.45,1.47,-9.5
2018-11-01,2018-19,Sacramento Kings @ Atlanta Hawks,Sacramento Kings,Atlanta Hawks,1.01,1.87,1.71,1.77,2.08,4.5,2.49,2.26,2.5
2018-11-01,2018-19,Milwaukee Bucks @ Boston Celtics,Milwaukee Bucks,Boston Celtics,2.1,10,2.74,2.3,1.01,1.85,1.4,1.77,-2.5
2018-11-01,2018-19,New Orleans Pelicans @ Portland Trail Blazers,New Orleans Pelicans,Portland Trail Blazers,2.3,12,3.81,4.4,1.01,1.75,1.27,1.29,-8
2018-11-01,2018-19,Los Angeles Clippers @ Orlando Magic,Los Angeles Clippers,Orlando Magic,1.01,1.91,1.41,1.62,2.16,200,3.18,2.6,3.5
2018-11-02,2018-19,Houston Rockets @ Brooklyn Nets,Houston Rockets,Brooklyn Nets,1.01,3.6,1.54,1.61,1.3,7.4,2.41,2.6,3
2018-11-02,2018-19,Indiana Pacers @ Chicago Bulls,Indiana Pacers,Chicago Bulls,1.05,5.3,1.39,1.34,1.24,12,3.17,4,7.5
2018-11-02,2018-19,Oklahoma City Thunder @ Washington Wizards,Oklahoma City Thunder,Washington Wizards,1.01,3.55,1.39,2.48,1.38,34,2.18,1.66,-3
2018-11-02,2018-19,New York Knicks @ Dallas Mavericks,New York Knicks,Dallas Mavericks,1.01,4.4,1.18,3.2,1.33,110,1.86,1.46,-6
2018-11-02,2018-19,Memphis Grizzlies @ Utah Jazz,Memphis Grizzlies,Utah Jazz,1.01,6.6,1.32,4,1.12,26,1.42,1.32,-7.5
2018-11-02,2018-19,Minnesota Timberwolves @ Golden State Warriors,Minnesota Timberwolves,Golden State Warriors,3.15,150,6.41,6.8,1.01,1.49,1.16,1.17,-10.5
2018-11-02,2018-19,Toronto Raptors @ Phoenix Suns,Toronto Raptors,Phoenix Suns,1.04,1.5,1.19,1.21,4.5,50,6.38,6,9
2018-11-03,2018-19,Detroit Pistons @ Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,3.8,50,6.28,4,1.02,1.37,1.3,1.33,-6
2018-11-03,2018-19,Cleveland Cavaliers @ Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,5,50,5.95,6,1.02,1.27,1.13,1.2,-9.5
2018-11-03,2018-19,Boston Celtics @ Indiana Pacers,Boston Celtics,Indiana Pacers,1.02,3,1.55,1.63,1.01,9.2,2.43,2.58,3.5
2018-11-03,2018-19,Miami Heat @ Atlanta Hawks,Miami Heat,Atlanta Hawks,1.43,21,1.83,1.43,1.01,3.3,1.66,3.25,5.5
2018-11-03,2018-19,Houston Rockets @ Chicago Bulls,Houston Rockets,Chicago Bulls,1.01,1.5,1.2,1.28,3.05,34,5.51,4.4,8
2018-11-03,2018-19,New Orleans Pelicans @ San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,1.84,9.8,2.46,2.18,1.03,2.22,1.46,1.84,-3.5
2018-11-03,2018-19,Utah Jazz @ Denver Nuggets,Utah Jazz,Denver Nuggets,1.29,50,2.8,2.8,1.01,3.1,1.43,1.54,-4
2018-11-03,2018-19,Los Angeles Lakers @ Portland Trail Blazers,Los Angeles Lakers,Portland Trail Blazers,1.01,4,1.86,2.44,1.36,100,1.85,1.69,-3
2018-11-04,2018-19,Sacramento Kings @ Milwaukee Bucks,Sacramento Kings,Milwaukee Bucks,3.85,6.4,5.83,5.5,1.02,1.35,1.18,1.21,-9.5
2018-11-04,2018-19,Philadelphia 76ers @ Brooklyn Nets,Philadelphia 76ers,Brooklyn Nets,1.49,720,1.73,1.6,1.01,3,1.95,2.64,4
2018-11-04,2018-19,New York Knicks @ Washington Wizards,New York Knicks,Washington Wizards,3.3,17.5,4.17,3.4,1.01,1.5,1.28,1.38,-6.5
2018-11-04,2018-19,Orlando Magic @ San Antonio Spurs,Orlando Magic,San Antonio Spurs,1.01,4.8,1.43,4.1,1.25,310,1.46,1.32,-8
2018-11-04,2018-19,Memphis Grizzlies @ Phoenix Suns,Memphis Grizzlies,Phoenix Suns,1.03,7.2,1.3,1.59,1.15,15.5,1.78,2.64,3.5
2018-11-04,2018-19,Minnesota Timberwolves @ Portland Trail Blazers,Minnesota Timberwolves,Portland Trail Blazers,3.05,110,3.47,3.45,1.01,1.53,1.36,1.4,-4.5
2018-11-04,2018-19,Toronto Raptors @ Los Angeles Lakers,Toronto Raptors,Los Angeles Lakers,1.01,2.2,1.28,2.2,1.83,100,3.12,1.84,2.5
2018-11-05,2018-19,Miami Heat @ Detroit Pistons,Miami Heat,Detroit Pistons,1.01,3.3,1.64,2.38,1.41,9.2,1.7,1.7,-3.5
2018-11-05,2018-19,Cleveland Cavaliers @ Orlando Magic,Cleveland Cavaliers,Orlando Magic,1.05,3,1.75,2.76,1.01,5.8,1.54,1.58,-5
2018-11-05,2018-19,Houston Rockets @ Indiana Pacers,Houston Rockets,Indiana Pacers,1.01,3.35,1.95,2.08,1.34,3.9,1.87,1.91,-1.5
2018-11-05,2018-19,Chicago Bulls @ New York Knicks,Chicago Bulls,New York Knicks,1.01,3.2,1.76,2.34,1.2,3.6,1.75,1.73,-2.5
2018-11-05,2018-19,New Orleans Pelicans @ Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,1.9,15.5,2.88,2.52,1.01,2.04,1.38,1.63,-3.5
2018-11-05,2018-19,Boston Celtics @ Denver Nuggets,Boston Celtics,Denver Nuggets,1.2,100,2.5,2.08,1.01,4.4,1.78,1.91,-1.5
2018-11-05,2018-19,Toronto Raptors @ Utah Jazz,Toronto Raptors,Utah Jazz,1.01,3.4,1.75,2.46,1.39,15,2.12,1.67,10.5
2018-11-05,2018-19,Memphis Grizzlies @ Golden State Warriors,Memphis Grizzlies,Golden State Warriors,4.7,13.5,7.07,11.5,1.01,1.25,1.12,1.09,-9.5
2018-11-05,2018-19,Minnesota Timberwolves @ Los Angeles Clippers,Minnesota Timberwolves,Los Angeles Clippers,2.5,6.2,3.55,3.1,1.01,1.7,1.38,1.47,-5.5
2018-11-06,2018-19,Atlanta Hawks @ Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,3.55,1000,10.43,7.6,1.01,1.35,1.2,1.15,-11.5
2018-11-06,2018-19,Washington Wizards @ Dallas Mavericks,Washington Wizards,Dallas Mavericks,1.82,13.5,2.75,1.82,1.02,2.2,1.23,2.18,1.5
2018-11-06,2018-19,Brooklyn Nets @ Phoenix Suns,Brooklyn Nets,Phoenix Suns,1.01,2.02,1.36,1.73,1.97,3,2.21,2.32,2.5
2018-11-06,2018-19,Milwaukee Bucks @ Portland Trail Blazers,Milwaukee Bucks,Portland Trail Blazers,1.6,12,2.05,1.8,1.01,2.3,1.57,2.26,2
2018-11-07,2018-19,Detroit Pistons @ Orlando Magic,Detroit Pistons,Orlando Magic,1.01,5,1.54,1.75,1.24,6,1.91,2.36,2.5
2018-11-07,2018-19,New York Knicks @ Atlanta Hawks,New York Knicks,Atlanta Hawks,1.01,2.24,1.51,1.88,1.58,26,2.78,2.1,1.5
2018-11-07,2018-19,Denver Nuggets @ Memphis Grizzlies,Denver Nuggets,Memphis Grizzlies,1.3,3,1.71,1.61,1.01,3.4,2.41,2.62,2.5
2018-11-07,2018-19,Chicago Bulls @ New Orleans Pelicans,Chicago Bulls,New Orleans Pelicans,6.2,15,7.44,7.2,1.03,1.2,1.1,1.18,-10.5
2018-11-07,2018-19,Philadelphia 76ers @ Indiana Pacers,Philadelphia 76ers,Indiana Pacers,1.01,2.5,1.78,2.36,1.6,100,2.35,1.73,4.5
2018-11-07,2018-19,Toronto Raptors @ Sacramento Kings,Toronto Raptors,Sacramento Kings,1.01,1.39,1.14,1.24,3.2,50,6.23,5,8
2018-11-07,2018-19,Oklahoma City Thunder @ Cleveland Cavaliers,Oklahoma City Thunder,Cleveland Cavaliers,1.01,1.88,1.34,1.39,2.12,26,3.42,3.5,6.5
2018-11-07,2018-19,San Antonio Spurs @ Miami Heat,San Antonio Spurs,Miami Heat,1.96,100,2.57,2.16,1.01,2.06,1.52,1.85,-2
2018-11-07,2018-19,Dallas Mavericks @ Utah Jazz,Dallas Mavericks,Utah Jazz,4.9,7.4,5.34,5.1,1.01,1.25,1.15,1.24,-8.5
2018-11-07,2018-19,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,2,100,3.09,3.25,1.01,1.9,1.45,1.45,-5
